id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n12-0001,ddgp,2,12,2,2-8;4-6,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,7,4,4,2,4,2,4,0,0,1,7,4,4,0,1,True,True,"{8}@{3,5}:base-clique;{8}@{3,5}:cone;{6}@{1,2}:cone;{5,8}@{3,4}:base-clique;{5,8}@{3,4}:cone;{4,5,8}@{1,2}:cone;{4,5,6,8}@{1,2}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n12-0002,ddgp,2,12,2,3-7;11-12,"{1,2,3,4,5,6,7,8,9,11,12}","{4,5,6,7,8,9,11,12}",8,15,8,18,7,9,2,4,0,0,1,25,9,9,0,1,True,True,"{12}@{7,8}:base-clique;{12}@{7,8}:cone;{11}@{3,9}:base-clique;{11}@{3,9}:cone;{9,11}@{5,7}:base-clique;{9,11}@{5,7}:cone;{8,12}@{5,6}:cone;{7,9,11,12}@{5,6}:cone;{7,8,9,11,12}@{5,6}:base-clique;{6,7,8,9,11,12}@{4,5}:base-clique;{6,7,8,9,11,12}@{4,5}:cone;{5,6,7,8,9,11,12}@{1,2}:base-clique;{5,6,7,8,9,11,12}@{1,2}:cone;{4,6,7,8,9,11,12}@{1,3}:base-clique;{4,6,7,8,9,11,12}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n12-0003,ddgp,2,12,2,3-10;6-10,"{1,2,3,4,6,7,10}","{4,6,7,10}",4,8,4,5,2,4,2,4,0,0,1,10,4,4,0,1,True,True,"{10}@{1,7}:base-clique;{10}@{1,7}:cone;{7,10}@{3,4}:base-clique;{7,10}@{3,4}:cone;{6}@{1,3}:base-clique;{6}@{1,3}:cone;{4,7,10}@{2,3}:base-clique;{4,7,10}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n12-0004,ddgp,2,12,2,3-10;10-11,"{1,2,3,4,5,7,9,10,11}","{4,5,7,9,10,11}",6,12,6,9,3,6,3,8,0,0,1,16,6,6,0,1,True,True,"{11}@{5,9}:base-clique;{11}@{5,9}:cone;{10}@{1,5}:base-clique;{10}@{1,5}:cone;{9,11}@{5,7}:base-clique;{9,11}@{5,7}:cone;{7,9,11}@{2,3}:base-clique;{7,9,11}@{2,3}:cone;{5,9,10,11}@{2,4}:base-clique;{5,9,10,11}@{2,4}:cone;{4,5,9,10,11}@{1,2}:base-clique;{4,5,9,10,11}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p2-n12-0005,ddgp,2,12,2,2-7;3-8,"{1,2,3,5,6,7,8}","{5,6,7,8}",4,8,4,4,4,4,0,1,0,0,1,7,4,4,0,1,True,True,"{8}@{5,6}:base-clique;{8}@{5,6}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone;{6,8}@{2,5}:base-clique;{6,8}@{2,5}:cone;{5,6,8}@{2,3}:base-clique;{5,6,8}@{2,3}:cone",,1,1,0,0,True,True,True
ddgp-p2-n12-0006,ddgp,2,12,2,3-12;7-8,"{1,2,3,4,5,6,7,8,12}","{4,5,6,7,8,12}",6,10,6,5,2,6,4,16,1,1,2,8,5,6,1,2,True,True,"{12}@{2,5}:base-clique;{12}@{2,5}:cone;{8}@{2,4}:cone;{7}@{4,6}:base-clique;{7}@{4,6}:cone;{6,7}@{2,4}:cone;{6,7,8}@{2,4}:base-clique;{5,12}@{1,3}:cone;{4,6,7,8}@{1,3}:cone;{4,5,6,7,8,12}@{1,3}:base-clique","{6,7,8}@{2,4}:base-clique",16,2,4,1,True,True,True
ddgp-p2-n12-0007,ddgp,2,12,2,4-11;7-10,"{1,2,3,4,5,6,7,8,10,11}","{4,5,6,7,8,10,11}",7,14,7,13,5,7,2,4,0,0,1,18,7,7,0,1,True,True,"{11}@{3,8}:base-clique;{11}@{3,8}:cone;{10}@{3,5}:base-clique;{10}@{3,5}:cone;{8,11}@{4,6}:base-clique;{8,11}@{4,6}:cone;{7}@{2,6}:base-clique;{7}@{2,6}:cone;{6,7,8,11}@{2,4}:base-clique;{6,7,8,11}@{2,4}:cone;{5,10}@{1,4}:base-clique;{5,10}@{1,4}:cone;{4,5,6,7,8,10,11}@{1,2}:base-clique;{4,5,6,7,8,10,11}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n12-0008,ddgp,2,12,2,1-11;10-11,"{1,2,3,6,7,9,10,11}","{6,7,9,10,11}",5,10,5,7,2,5,3,8,0,0,1,13,5,5,0,1,True,True,"{11}@{6,9}:base-clique;{11}@{6,9}:cone;{10}@{6,7}:base-clique;{10}@{6,7}:cone;{9,11}@{3,6}:base-clique;{9,11}@{3,6}:cone;{7,10}@{2,3}:base-clique;{7,10}@{2,3}:cone;{6,9,10,11}@{1,2}:base-clique;{6,9,10,11}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p2-n12-0009,ddgp,2,12,2,3-7;4-6,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,8,4,4,2,4,2,4,0,0,1,9,4,4,0,1,True,True,"{7}@{4,5}:base-clique;{7}@{4,5}:cone;{6}@{3,5}:base-clique;{6}@{3,5}:cone;{5,6,7}@{2,3}:base-clique;{5,6,7}@{2,3}:cone;{4,7}@{1,2}:base-clique;{4,7}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n12-0010,ddgp,2,12,2,5-12;8-12,"{1,2,3,4,5,6,8,12}","{4,5,6,8,12}",5,10,5,6,3,5,2,4,0,0,1,14,5,5,0,1,True,True,"{12}@{1,6}:base-clique;{12}@{1,6}:cone;{8}@{2,3}:base-clique;{8}@{2,3}:cone;{6,12}@{2,4}:base-clique;{6,12}@{2,4}:cone;{5}@{1,2}:base-clique;{5}@{1,2}:cone;{4,6,12}@{1,3}:base-clique;{4,6,12}@{1,3}:cone",,4,1,2,0,True,True,True
